ID,target,stat_mean,stat_std,stat_median,stat_min,stat_max,stat_skewness,stat_p75,glcm_contrast_d1_a0,glcm_contrast_d1_a45,glcm_dissimilarity_d1_a0,fft_min_magnitude,fft_mag_p10
0,0,-3.869953381299077,15.390044607205128,0.24297313580528815,-60.06369564417617,35.16864733554702,-1.802965672001034,3.583116881649984,392.7627068557894,750.0782139646677,14.806442080378233,7.44645904176098,82.93194241035712
1,0,-3.665837693938633,15.280552559797966,0.14835156854777554,-59.162243864362736,32.08628105389872,-1.793593345027373,3.6306108520151463,489.9432624113442,842.8079112976108,16.270685579196172,4.043500467736957,86.2850189034362
10,2,-4.689862035879759,17.00632603419409,0.30970739927377755,-62.95600661874271,31.79278156006392,-1.9158927818062716,3.400259664828331,362.1920803782487,820.5594845670043,13.9917257683215,12.23276253383575,91.5133408471079
100,0,-3.6576778657119116,16.489983707140187,0.6473677987351468,-61.45332629412442,41.60330555378656,-1.7767955704238017,4.699400079483634,414.6586879432609,742.6227150135122,15.55230496453901,7.619594935761391,89.36352942811013
1000,0,-3.8076906126836083,15.991054240157549,0.3652107929285749,-57.93795874941811,40.9490590551431,-1.8204108193742832,4.3192391585211185,405.5401891252937,779.4237338927468,15.271276595744663,5.286731460999671,85.9856642237542
1001,0,-3.7739457614546104,16.241319154904307,0.5711739267980087,-59.22562552922759,51.98335115514002,-1.7853587157392008,4.307525799797226,328.20626477541146,601.1009889122155,13.669621749408964,3.661556880757103,96.82700362090858
1002,0,-3.7112462395793124,15.935626321645236,0.5672899631146938,-58.153383773904665,43.40707715189681,-1.8029717081674732,4.163465444399694,384.69917257682977,716.1189691339788,14.83215130023643,0.8447917141314617,85.23175324374526
1003,2,-4.300435059116864,18.20137087705955,0.8283242597381335,-64.34891923720193,36.9644859596443,-1.868490950885806,4.5633853742840484,405.24261229314146,827.8417740485786,15.246158392434978,2.8639713706725876,108.55060403991422
1004,0,-3.817033019973814,16.25220563204163,0.5341191099268368,-60.77552421927094,34.81977418977589,-1.8136527613629858,4.330618193625207,456.0017730496451,835.7389871142092,16.400118203309717,0.007118191161907816,85.91362124728718
1005,0,-3.8138562221570727,15.314271656967122,0.18187831821846534,-57.50648220320805,27.97894000637524,-1.8172837302515594,3.635122838770491,492.4252364066148,879.0248726401369,16.638593380614672,7.839676718018627,77.48029256389437
1006,0,-3.6494696364844654,15.323996506182377,0.31059874480403765,-59.63899239955167,37.592882002260296,-1.7922494076837447,3.814527366922168,425.7978723404243,728.1033862751246,15.290189125295496,9.287147366732825,85.95193485515301
1007,0,-3.599249587861709,16.292878484852054,0.49258746132822656,-62.951850340076014,34.10338421330455,-1.7634703933321763,4.526478495710439,477.29669030732384,886.3775846569155,16.77364066193853,10.231146905652897,93.04379547312604
1008,0,-3.714491448531741,15.492389740475303,0.1898763105923591,-58.15170728356694,35.67018477500031,-1.7761699655424403,3.8286280740575895,437.08244680850686,811.9721306563125,15.624408983451573,11.166728101720492,82.98192758441353
